,code,期货名,上市日期,最后交易日期
18,NIL.SHF,沪镍连续,,
19,RBL.SHF,螺纹钢连续,,
20,CUL.SHF,沪铜连续,,
21,FU.SHF,燃油主力,,
22,AU.SHF,黄金主力,,
23,ALL.SHF,沪铝连续,,
24,PB.SHF,沪铅主力,,
25,ZNL.SHF,沪锌连续,,
26,WRL.SHF,线材连续,,
27,RU.SHF,橡胶主力,,
28,RUL.SHF,橡胶连续,,
29,HC.SHF,热轧卷板主力,,
30,BU.SHF,沥青主力,,
31,SSL.SHF,不锈钢连续,,
32,SP.SHF,纸浆主力,,
33,SPL.SHF,纸浆连续,,
34,AO.SHF,氧化铝主力,,
35,AOL.SHF,氧化铝连续,,
0,BCL.INE,国际铜连续,,
1,NRL.INE,20号胶连续,,
2,NR.INE,20号胶主力,,
3,EC.INE,集运指数(欧线)主力,,
4,ECL.INE,集运指数(欧线)连续,,
5,SC.INE,原油主力,,
6,SCL.INE,原油连续,,
7,LUL.INE,低硫燃料油连续,,
8,LU.INE,低硫燃料油主力,,
9,BC.INE,国际铜主力,,
10,SCTAS.INE,原油TAS指令主力,,
11,SCTASL.INE,原油TAS指令连续,,
0,SI.GFE,工业硅主力,,
1,SIL.GFE,工业硅连续,,
2,LC.GFE,碳酸锂主力,,
3,LCL.GFE,碳酸锂连续,,
